date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:22:14	50748/50748	---MCZ	200	added ('OK')	text/html	etag:W/%2210895f1-c63c-539c74ed52461%22	http://berg.maskandesign.com/html/02_02_multipage_construct.html	C:/My%20Web%20Sites/trizone_2/berg.maskandesign.com/html/02_02_multipage_construct.html	(from )
11:22:15	208/208	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2024%20Sep%202016%2005:22:20%20GMT	http://berg.maskandesign.com/robots.txt		(from )
11:22:15	195365/195365	---MCZ	200	added ('OK')	text/css	etag:W/%2257ac332e-2fb25%22	http://berg.maskandesign.com/html/css/bootstrap.css	C:/My%20Web%20Sites/trizone_2/berg.maskandesign.com/html/css/bootstrap.css	(from http://berg.maskandesign.com/html/02_02_multipage_construct.html)
11:22:15	23739/23739	---MCZ	200	added ('OK')	text/css	etag:W/%2257ac332e-5cbb%22	http://berg.maskandesign.com/html/css/font-awesome.min.css	C:/My%20Web%20Sites/trizone_2/berg.maskandesign.com/html/css/font-awesome.min.css	(from http://berg.maskandesign.com/html/02_02_multipage_construct.html)
11:22:16	16435/16435	---MCZ	200	added ('OK')	text/css	etag:W/%2257ac332d-4033%22	http://berg.maskandesign.com/html/fonts/themify-icons.css	C:/My%20Web%20Sites/trizone_2/berg.maskandesign.com/html/fonts/themify-icons.css	(from http://berg.maskandesign.com/html/02_02_multipage_construct.html)
11:22:16	8670/8670	---MCZ	200	added ('OK')	text/css	etag:W/%2257ac332e-21de%22	http://berg.maskandesign.com/html/css/owl.carousel.css	C:/My%20Web%20Sites/trizone_2/berg.maskandesign.com/html/css/owl.carousel.css	(from http://berg.maskandesign.com/html/02_02_multipage_construct.html)
11:22:17	7789/7789	---MCZ	200	added ('OK')	text/css	etag:W/%2257ac332e-1e6d%22	http://berg.maskandesign.com/html/css/magnific-popup.css	C:/My%20Web%20Sites/trizone_2/berg.maskandesign.com/html/css/magnific-popup.css	(from http://berg.maskandesign.com/html/02_02_multipage_construct.html)
11:22:17	61149/61149	---MCZ	200	added ('OK')	text/css	etag:W/%2257ac332e-eedd%22	http://berg.maskandesign.com/html/css/animate.css	C:/My%20Web%20Sites/trizone_2/berg.maskandesign.com/html/css/animate.css	(from http://berg.maskandesign.com/html/02_02_multipage_construct.html)
11:22:18	2441/2441	---MCZ	200	added ('OK')	text/css	etag:W/%2257ac332d-989%22	http://berg.maskandesign.com/html/fonts/build/flaticon.css	C:/My%20Web%20Sites/trizone_2/berg.maskandesign.com/html/fonts/build/flaticon.css	(from http://berg.maskandesign.com/html/02_02_multipage_construct.html)
11:22:18	83633/83633	---MCZ	200	added ('OK')	text/css	etag:W/%2257ac332e-146b1%22	http://berg.maskandesign.com/html/css/style.css	C:/My%20Web%20Sites/trizone_2/berg.maskandesign.com/html/css/style.css	(from http://berg.maskandesign.com/html/02_02_multipage_construct.html)
11:22:18	63430/63430	---MCZ	200	added ('OK')	text/html	etag:W/%2210895f2-f7c6-539c74edb3ee1%22	http://berg.maskandesign.com/html/02_01_multipage_creative.html	C:/My%20Web%20Sites/trizone_2/berg.maskandesign.com/html/02_01_multipage_creative.html	(from http://berg.maskandesign.com/html/02_02_multipage_construct.html)
11:22:19	54211/54211	---MCZ	200	added ('OK')	text/html	etag:W/%2210895f0-d3c3-539c74ece7d41%22	http://berg.maskandesign.com/html/02_03_multipage_sport.html	C:/My%20Web%20Sites/trizone_2/berg.maskandesign.com/html/02_03_multipage_sport.html	(from http://berg.maskandesign.com/html/02_02_multipage_construct.html)
11:22:19	51470/51470	---MCZ	200	added ('OK')	text/html	etag:W/%2210895ef-c90e-539c74ec7c681%22	http://berg.maskandesign.com/html/02_04_multipage_yoga.html	C:/My%20Web%20Sites/trizone_2/berg.maskandesign.com/html/02_04_multipage_yoga.html	(from http://berg.maskandesign.com/html/02_02_multipage_construct.html)
11:22:20	58675/58675	---MCZ	200	added ('OK')	text/html	etag:W/%2210895ee-e533-539c74ec238a1%22	http://berg.maskandesign.com/html/02_05_multipage_music.html	C:/My%20Web%20Sites/trizone_2/berg.maskandesign.com/html/02_05_multipage_music.html	(from http://berg.maskandesign.com/html/02_02_multipage_construct.html)
11:22:20	45963/45963	---MCZ	200	added ('OK')	text/html	etag:W/%2210895ed-b38b-539c74ebc2dc1%22	http://berg.maskandesign.com/html/02_06_multipage_wedding.html	C:/My%20Web%20Sites/trizone_2/berg.maskandesign.com/html/02_06_multipage_wedding.html	(from http://berg.maskandesign.com/html/02_02_multipage_construct.html)
11:22:21	56152/56152	---MCZ	200	added ('OK')	text/html	etag:W/%2210895ec-db58-539c74eb69fe1%22	http://berg.maskandesign.com/html/02_07_multipage_arch.html	C:/My%20Web%20Sites/trizone_2/berg.maskandesign.com/html/02_07_multipage_arch.html	(from http://berg.maskandesign.com/html/02_02_multipage_construct.html)
